vacc_date,received_at_least_one_dose,full_regimen,minimum_protection,received_one_dose_pcttakeup,full_regimen_pcttakeup,minimum_protection_pcttakeup
2020-12-30,752.0,17.0,9.0,0.01,0.0,0.0
2020-12-31,807.0,18.0,9.0,0.01,0.0,0.0
2021-01-01,862.0,18.0,9.0,0.01,0.0,0.0
2021-01-02,908.0,18.0,9.0,0.02,0.0,0.0
2021-01-03,954.0,18.0,9.0,0.02,0.0,0.0
2021-01-04,1073.0,19.0,9.0,0.02,0.0,0.0
2021-01-05,1186.0,23.0,9.0,0.02,0.0,0.0
2021-01-06,1320.0,26.0,9.0,0.02,0.0,0.0
2021-01-07,1463.0,28.0,9.0,0.02,0.0,0.0
2021-01-08,2333.0,39.0,9.0,0.04,0.0,0.0
2021-01-09,2801.0,46.0,9.0,0.05,0.0,0.0
2021-01-10,3042.0,56.0,9.0,0.05,0.0,0.0
2021-01-11,5185.0,56.0,9.0,0.09,0.0,0.0
2021-01-12,8078.0,70.0,9.0,0.14,0.0,0.0
2021-01-13,12162.0,89.0,9.0,0.2,0.0,0.0
2021-01-14,16925.0,105.0,9.0,0.28,0.0,0.0
2021-01-15,22244.0,119.0,9.0,0.37,0.0,0.0
2021-01-16,24023.0,133.0,9.0,0.4,0.0,0.0
2021-01-17,24746.0,145.0,9.0,0.42,0.0,0.0
2021-01-18,32167.0,179.0,9.0,0.54,0.0,0.0
2021-01-19,40257.0,231.0,9.0,0.68,0.0,0.0
2021-01-20,49279.0,343.0,9.0,0.83,0.01,0.0
2021-01-21,56843.0,416.0,9.0,0.95,0.01,0.0
2021-01-22,64473.0,453.0,9.0,1.08,0.01,0.0
2021-01-23,69176.0,482.0,9.0,1.16,0.01,0.0
2021-01-24,73603.0,560.0,9.0,1.24,0.01,0.0
2021-01-25,85340.0,629.0,9.0,1.43,0.01,0.0
2021-01-26,97691.0,721.0,9.0,1.64,0.01,0.0
2021-01-27,111267.0,780.0,9.0,1.87,0.01,0.0
2021-01-28,125533.0,848.0,9.0,2.11,0.01,0.0
2021-01-29,139208.0,1567.0,9.0,2.34,0.03,0.0
2021-01-30,146286.0,1966.0,9.0,2.46,0.03,0.0
2021-01-31,151805.0,2183.0,9.0,2.55,0.04,0.0
2021-02-01,160815.0,4259.0,9.0,2.7,0.07,0.0
2021-02-02,170315.0,6723.0,9.0,2.86,0.11,0.0
2021-02-03,181507.0,10366.0,9.0,3.05,0.17,0.0
2021-02-04,190116.0,14699.0,9.0,3.19,0.25,0.0
2021-02-05,199371.0,19886.0,9.0,3.35,0.33,0.0
2021-02-06,203690.0,21510.0,9.0,3.42,0.36,0.0
2021-02-07,206001.0,22215.0,9.0,3.46,0.37,0.0
2021-02-08,210013.0,29554.0,9.0,3.53,0.5,0.0
2021-02-09,213665.0,37582.0,9.0,3.59,0.63,0.0
2021-02-10,216727.0,46429.0,9.0,3.64,0.78,0.0
2021-02-11,218170.0,49311.0,9.0,3.66,0.83,0.0
2021-02-12,218285.0,49341.0,9.0,3.67,0.83,0.0
2021-02-13,218402.0,49365.0,9.0,3.67,0.83,0.0
2021-02-14,218980.0,53191.0,9.0,3.68,0.89,0.0
2021-02-15,220217.0,63796.0,9.0,3.7,1.07,0.0
